"Contacts", "Контакты"
"Stores", "Магазины"
"About Us", "О нас"
"Delivery", "Доставка"
"Payment", "Оплата"
"Bonus program", "Бонусная программа"
"Your City", "Ваш город"
"Kiev", "Киев"
"Ternopil", "Тернополь"
"Lviv", "Львов"
"Odessa", "Одесса"
"Kharkov", "Харьков"
"Register", "Регистрация"
"Log In", "Вход"
"Call back", "Позвонить"
"Cart", "Корзина"
"Compare", "Сравнение"
"Wishlist", "Пожелания"
"Garage", "Гараж"
"In stock", "В наличии"
"Out of stock", "Не в наличии"
"Be the first to review this product", "Оставь первый отзыв"
"4 Questions", "4 Вопрос"
"Share", "Поделиться"
"Reviews", "Отзывы"
"Description", "Описание"
"Characteristics", "Характеристики"
"Share", "Поделиться"
"Product code: 39207", "Код товара: 39207"
"Report about entry", "Сообщить о наличии"
"Related Products", "Похожие товары"
"Review (10)", "Отзывов (10)"
"Add Review", "Заишиты отзыв"
"Read more", "Читать полностью"
"Dignity", "Преимущества"
"Limitations", "Недостатки"
"1 Review", "1 отзыв"
"Add review" "," Оставить отзыв "
"Was this review helpful to you:", "Был ли этот отзыв полезным для вас"
"Recently Viewed Products", "Недавно переглдалы"
"Buy", "Купить"
"3 review", "3 комментария"
"Home", "Главная"
