"Contacts", "Контакти"
"Stores", "Магазини"
"About Us", "Про нас"
"Delivery", "Доставка"
"Payment", "Оплата"
"Bonus program", "Бонусна програма"
"Your City", "Ваше місто"
"Kiev", "Київ"
"Ternopil", "Тернопіль"
"Lviv", "Львів"
"Odessa", "Одеса"
"Kharkov", "Харків"
"Register", "Реєстрація"
"Log In", "Вхід"
"Call back", "Зателефонувати"
"Cart", "Корзина"
"Compare", "Порівняння"
"Wishlist", "Побажання"
"Garage", "Гараж"
"In stock", "В наявності"
"Out of stock", "Не в наявності"
"Be the first to review this product", "Залиш перший відгук"
"4 Questions", "4 Запитання"
"Share", "Поділитися"
"Reviews", "Відгуки"
"Description", "Опис"
"Characteristics", "Характеристики"
"Share", "Поділитися"
"Product code: 39207", "Код товару: 39207"
"Report about entry", "Повідомити про наявність"
"Related Products", "Схожі товари"
"Review (10)", "Відгуків (10)"
"Add Review", "Заишити відгук"
"Read more", "Читати повністю"
"Dignity", "Переваги"
"Limitations", "Недоліки"
"1 Review", "1 відгук"
"Add review'", "Залишити відгук"
"Was this review helpful to you:", "Чи був цей відгук корисним для вас"
"Recently Viewed Products", "Недавно переглдали"
"Buy", "Купити"
"3 review", "3 коментарі"
"Home", "Домашня"
